Kasifikasi,Tweet,Username,Label,,Datetime,,,Tweet Id
1,"@gibran_tweet @persisofficial kukut wae mas wali, kesempatan buat main piala dunia U20 pupus, selamat yo pak @ganjarpranowo wes kakehan gunem ra mutu
FIFA: Indonesia Batal jadi Tuan Rumah Piala Dunia U-20 https://t.co/NApVFljekd",IjoLandak,NEGATIF,,2023-03-29 16:23:37+00:00,,,1641113893794906114
3,"Indonesia batal jadi tuan rumah Piala Dunia U-20. Beberapa Sanksi sudah menanti Indonesia.

It's Okay, Indonesia!

FIFA Removes Indonesia as host of FIFA U-20 World Cup 2023™

Standa Ganda • Piala Dunia U20 https://t.co/pJQHw5akCR",WhozTweet,POSITIF,,2023-03-29 15:42:04+00:00,,,1641103437667639296
1,"Potential sanctions against the PSSI may also be decided at a later stage.

Batal jadi tuan rumah FIFA U-20, 
Gagal main di PD U-20
PSSI di sanksi FIFA

Kerugian yang sangat amat besar bagi pembinaan bola Indonesia, reputasi Indonesia, wisata dan ekonomi.
Astagfirullah?? https://t.co/WzJnMaY5lx",wdtu,NEGATIF,,2023-03-29 23:54:18+00:00,,,1641227310878818305
2,"Media Sosial

Pro (27%):
• Minta warganet professional dan kesampingkan kepentingan politis.
• Soroti drawing Pildun U-20 2023 terancam batal.
• Soroti nasib Indonesia yang akan disanksi FIFA akibat polemik Israel.

Kontra (60%) :
• Kedatangan Israel pengkhianatan konstitusi.…",ismailfahmi,NETRAL,,2023-03-29 23:45:59+00:00,,,1641225217765969920
1,"Skenarionya gini
-Argentina gagal lolos Piala Dunia U-20
-Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20
-Argentina jadi tuan rumah gantiin Indonesia
-Argentina main di Piala Dunia U-20
-Argentina juara PD U-20

Artinya apa bang messi?
Fix Kalah ama Bandar (FIFA)
LOL",Rahman12996,NEGATIF,,2023-03-29 23:25:49+00:00,,,1641220144021270530
1,"Sangat disayangkan akhirnya Pildun U-20 batal, batal juga Indonesia main.
Siap-siap tunggu sanksi aja lah. Dan semoga FIFA juga tetap  lanjutin komitmen buat perbaiki sepakbola Indonesia.
Bela palestina ya bela lah, tapi ya gak sampek ngancurin diri sendiri juga kan.",FardaniYS,NEGATIF,,2023-03-29 22:17:15+00:00,,,1641202889250189312
1,"Batal jadi tuan rumah Piala Dunia U-20, apa yg bisa didapat Indonesia? Bahkan hikmah pun rasanya tak bisa didapat. Sanksi FIFA justru menanti. Israel tetep main, palestina ga otomatis merdeka, Indonesia kehilangan segalanya. 

BREAKING NEWS",2karakterbisa,NEGATIF,,2023-03-29 22:09:34+00:00,,,1641200957097930753
1,"Yg gak terima tim israel main siapa?
Gak terima ya mrk gak main, kan sesuai harapan.
@ganjarpranowo @GubernurBALI
https://t.co/YNDhwYxSTU

Indonesia batal jadi tuan rumah Piala Dunia U-20. Ketum PSSI sudah berupaya maksimal melobi FIFA, tapi harus menerima keputusannya.",TimoSu1,NEGATIF,,2023-03-29 20:07:47+00:00,,,1641170308249063426
2,"Piala Dunia U-20 2023 di Indonesia Batal, FIFA Belum Tunjuk Negara Pengganti

se more: https://t.co/jOs5A7QZe0",andyzenfire1,NETRAL,,2023-03-29 19:57:06+00:00,,,1641167620283023365
1,"@yourpadawann @TriWahyuYulian1 @dishopra @FaktaSepakbola Kanjuruhan kejadiannya kapan?? Apa setelah itu ada isu2 pildun U-20 batal??? Gak ada!!! Isu baru muncul jelas setelah ada lantang penolakan terhadap satu team tertentu, terus drawing batal!! FIFA jelas menjunjung fair play...",Vermend,NEGATIF,,2023-03-29 18:49:28+00:00,,,1641150598035931136
