Username,Datetime,Tweet,Clean,Normalize,Lowercase,Stopword,Hasil
yulakusuma,2023-02-27 15:20:12+00:00,"Ngomongin pemain bintang yg tampil di Piala Dunia U-20 ini, aku paling berharap sama Mason Greenwood. Kemarin dia diskors dari timnas karena kasus, tapi kelihatanya kasus sudah terhenti. Semoga dia balik timnas lalu main di Piala Dunia U-20 ini.

Tuan Rumah 
#IndonesiaSiapU20",Ngomongin pemain bintang yg tampil di Piala Dunia ini aku paling berharap sama Mason Greenwood Kemarin dia diskors dari timnas karena kasus tapi kelihatanya kasus sudah terhenti Semoga dia balik timnas lalu main di Piala Dunia ini Tuan Rumah IndonesiaSiap,"['Ngomongin', 'pemain', 'bintang', 'yang', 'tampil', 'di', 'Piala', 'Dunia', 'ini', 'aku', 'paling', 'berharap', 'sama', 'Mason', 'Greenwood', 'Kemarin', 'dia', 'diskors', 'dari', 'timnas', 'karena', 'kasus', 'tapi', 'kelihatanya', 'kasus', 'sudah', 'terhenti', 'Semoga', 'dia', 'balik', 'timnas', 'lalu', 'main', 'di', 'Piala', 'Dunia', 'ini', 'Tuan', 'Rumah', 'IndonesiaSiap']","['ngomongin', 'pemain', 'bintang', 'yang', 'tampil', 'di', 'piala', 'dunia', 'ini', 'aku', 'paling', 'berharap', 'sama', 'mason', 'greenwood', 'kemarin', 'dia', 'diskors', 'dari', 'timnas', 'karena', 'kasus', 'tapi', 'kelihatanya', 'kasus', 'sudah', 'terhenti', 'semoga', 'dia', 'balik', 'timnas', 'lalu', 'main', 'di', 'piala', 'dunia', 'ini', 'tuan', 'rumah', 'indonesiasiap']","['ngomongin', 'pemain', 'bintang', 'tampil', 'piala', 'berharap', 'mason', 'greenwood', 'kemarin', 'diskors', 'timnas', 'kelihatanya', 'terhenti', 'semoga', 'timnas', 'main', 'piala', 'tuan', 'rumah', 'indonesiasiap']",ngomongin pemain bintang tampil piala berharap mason greenwood kemarin diskors timnas kelihatanya terhenti semoga timnas main piala tuan rumah indonesiasiap
yulakusuma,2023-02-27 15:12:15+00:00,"Memang nggak main main pemerintah dalam persiapan event Piala Dunia U-20 ini. Ya wajar, itu event dunia yang sangat ditunggu orang orang sedunia. Bakal banyak calon bintang yang tampil disitu.

Tuan Rumah 
#IndonesiaSiapU20 https://t.co/GoZpKeDucs",Memang nggak main main pemerintah dalam persiapan event Piala Dunia ini Ya wajar itu event dunia yang sangat ditunggu orang orang sedunia Bakal banyak calon bintang yang tampil disitu Tuan Rumah IndonesiaSiap,"['Memang', 'tidak', 'main', 'main', 'pemerintah', 'dalam', 'persiapan', 'event', 'Piala', 'Dunia', 'ini', 'Ya', 'wajar', 'itu', 'event', 'dunia', 'yang', 'sangat', 'ditunggu', 'orang', 'orang', 'sedunia', 'Bakal', 'banyak', 'calon', 'bintang', 'yang', 'tampil', 'disitu', 'Tuan', 'Rumah', 'IndonesiaSiap']","['memang', 'tidak', 'main', 'main', 'pemerintah', 'dalam', 'persiapan', 'event', 'piala', 'dunia', 'ini', 'ya', 'wajar', 'itu', 'event', 'dunia', 'yang', 'sangat', 'ditunggu', 'orang', 'orang', 'sedunia', 'bakal', 'banyak', 'calon', 'bintang', 'yang', 'tampil', 'disitu', 'tuan', 'rumah', 'indonesiasiap']","['main', 'main', 'pemerintah', 'persiapan', 'event', 'piala', 'wajar', 'event', 'ditunggu', 'sedunia', 'calon', 'bintang', 'tampil', 'disitu', 'tuan', 'rumah', 'indonesiasiap']",main main pemerintah persiapan event piala wajar event ditunggu sedunia calon bintang tampil disitu tuan rumah indonesiasiap
yulakusuma,2023-02-27 15:04:30+00:00,"Persis Solo yang biasanya main di Stadion Manahan Solo, sekarang main di Stadion Maguwoharjo Sleman. Tapi nggak papa, demi suksesnya penyelenggaran piala dunia U 20.

Tuan Rumah 
#IndonesiaSiapU20",Persis Solo yang biasanya main di Stadion Manahan Solo sekarang main di Stadion Maguwoharjo Sleman Tapi nggak papa demi suksesnya penyelenggaran piala dunia U  Tuan Rumah IndonesiaSiap,"['Persis', 'Solo', 'yang', 'biasanya', 'main', 'di', 'Stadion', 'Manahan', 'Solo', 'sekarang', 'main', 'di', 'Stadion', 'Maguwoharjo', 'Sleman', 'Tapi', 'tidak', 'papa', 'demi', 'suksesnya', 'penyelenggaran', 'piala', 'dunia', 'U', 'Tuan', 'Rumah', 'IndonesiaSiap']","['persis', 'solo', 'yang', 'biasanya', 'main', 'di', 'stadion', 'manahan', 'solo', 'sekarang', 'main', 'di', 'stadion', 'maguwoharjo', 'sleman', 'tapi', 'tidak', 'papa', 'demi', 'suksesnya', 'penyelenggaran', 'piala', 'dunia', 'u', 'tuan', 'rumah', 'indonesiasiap']","['persis', 'solo', 'main', 'stadion', 'manahan', 'solo', 'main', 'stadion', 'maguwoharjo', 'sleman', 'papa', 'suksesnya', 'penyelenggaran', 'piala', 'tuan', 'rumah', 'indonesiasiap']",persis solo main stadion manahan solo main stadion maguwoharjo sleman papa suksesnya penyelenggaran piala tuan rumah indonesiasiap
akunovitania,2023-02-27 14:10:38+00:00,"Kalo tadi rumput dan fasilitas di rapihin, pasokan listrik juga dalam proses instalasi nih oleh PLN 

Dan Telkom juga siapkan jaringan internetnya. Bener bener kolaborasi epic ya demi sukses jadi tuan rumah Piala Dunia U-20 

#IndonesiaSiapU20 https://t.co/3xhQkLHsWd",Kalo tadi rumput dan fasilitas di rapihin pasokan listrik juga dalam proses instalasi nih oleh PLN Dan Telkom juga siapkan jaringan internetnya Bener bener kolaborasi epic ya demi sukses jadi tuan rumah Piala Dunia IndonesiaSiap,"['Kalo', 'tadi', 'rumput', 'dan', 'fasilitas', 'di', 'rapihin', 'pasokan', 'listrik', 'juga', 'dalam', 'proses', 'instalasi', 'ini', 'oleh', 'PLN', 'Dan', 'Telkom', 'juga', 'siapkan', 'jaringan', 'internetnya', 'Bener', 'benar', 'kolaborasi', 'epic', 'iya', 'demi', 'sukses', 'jadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'IndonesiaSiap']","['kalo', 'tadi', 'rumput', 'dan', 'fasilitas', 'di', 'rapihin', 'pasokan', 'listrik', 'juga', 'dalam', 'proses', 'instalasi', 'ini', 'oleh', 'pln', 'dan', 'telkom', 'juga', 'siapkan', 'jaringan', 'internetnya', 'bener', 'benar', 'kolaborasi', 'epic', 'iya', 'demi', 'sukses', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'indonesiasiap']","['rumput', 'fasilitas', 'rapihin', 'pasokan', 'listrik', 'proses', 'instalasi', 'pln', 'telkom', 'siapkan', 'jaringan', 'internetnya', 'bener', 'kolaborasi', 'epic', 'sukses', 'tuan', 'rumah', 'piala', 'indonesiasiap']",rumput fasilitas rapihin pasokan listrik proses instalasi pln telkom siapkan jaringan internetnya bener kolaborasi epic sukses tuan rumah piala indonesiasiap
MamieKoe,2023-02-27 13:38:19+00:00,"Yohooo, excited banget, sbg Tuan Rumah Piala Dunia U-20 kali ini kayaknya bakal ada kejutan-kejutan seru nih. Nantikan guys 😍😍
#IndonesiaSiapU20 https://t.co/AZO8B9Vx1a",Yohooo excited banget sbg Tuan Rumah Piala Dunia kali ini kayaknya bakal ada kejutan kejutan seru nih Nantikan guys IndonesiaSiap,"['Yohooo', 'excited', 'banget', 'sebagai', 'Tuan', 'Rumah', 'Piala', 'Dunia', 'kali', 'ini', 'kayaknya', 'bakal', 'ada', 'kejutan', 'kejutan', 'seru', 'ini', 'Nantikan', 'teman-teman', 'IndonesiaSiap']","['yohooo', 'excited', 'banget', 'sebagai', 'tuan', 'rumah', 'piala', 'dunia', 'kali', 'ini', 'kayaknya', 'bakal', 'ada', 'kejutan', 'kejutan', 'seru', 'ini', 'nantikan', 'teman-teman', 'indonesiasiap']","['excited', 'banget', 'tuan', 'rumah', 'piala', 'kayaknya', 'kejutan', 'kejutan', 'seru', 'nantikan', 'teman-teman', 'indonesiasiap']",excited banget tuan rumah piala kayaknya kejutan kejutan seru nantikan teman-teman indonesiasiap
hairildaily,2023-02-27 13:37:23+00:00,"Mantap juga ni Surabaya. Udah Ready banget ini kayanya jadi Tuan Rumah Piala Dunia U-20 tahun ini. 

#IndonesiaSiapU20",Mantap juga ni Surabaya Udah Ready banget ini kayanya jadi Tuan Rumah Piala Dunia tahun ini IndonesiaSiap,"['Mantap', 'juga', 'ini', 'Surabaya', 'Udah', 'Ready', 'banget', 'ini', 'kayaknya', 'jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia', 'tahun', 'ini', 'IndonesiaSiap']","['mantap', 'juga', 'ini', 'surabaya', 'udah', 'ready', 'banget', 'ini', 'kayaknya', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'tahun', 'ini', 'indonesiasiap']","['mantap', 'surabaya', 'udah', 'ready', 'banget', 'kayaknya', 'tuan', 'rumah', 'piala', 'tahun', 'indonesiasiap']",mantap surabaya udah ready banget kayaknya tuan rumah piala tahun indonesiasiap
id__89,2023-02-27 13:33:07+00:00,"Tuan Rumah Piala Dunia U -20 terus dipersiapkan,,, 

Pasokan listrik masih dalam proses instalasi oleh PLN. Mulai dari menginstal main suply power.

#IndonesiaSiapU20 https://t.co/6IRNBoPWy2",Tuan Rumah Piala Dunia U  terus dipersiapkan Pasokan listrik masih dalam proses instalasi oleh PLN Mulai dari menginstal main suply power IndonesiaSiap,"['Tuan', 'Rumah', 'Piala', 'Dunia', 'U', 'terus', 'dipersiapkan', 'Pasokan', 'listrik', 'masih', 'dalam', 'proses', 'instalasi', 'oleh', 'PLN', 'Mulai', 'dari', 'menginstal', 'main', 'suply', 'power', 'IndonesiaSiap']","['tuan', 'rumah', 'piala', 'dunia', 'u', 'terus', 'dipersiapkan', 'pasokan', 'listrik', 'masih', 'dalam', 'proses', 'instalasi', 'oleh', 'pln', 'mulai', 'dari', 'menginstal', 'main', 'suply', 'power', 'indonesiasiap']","['tuan', 'rumah', 'piala', 'dipersiapkan', 'pasokan', 'listrik', 'proses', 'instalasi', 'pln', 'menginstal', 'main', 'suply', 'power', 'indonesiasiap']",tuan rumah piala dipersiapkan pasokan listrik proses instalasi pln menginstal main suply power indonesiasiap
salmanbiroe,2023-02-27 13:26:46+00:00,"Are you ready guys? Menyambut pagelaran Piala Dunia U-20 di Bali, Jakarta dan 4 kota lain Mei nanti? Indonesia jadi Tuan Rumah
#IndonesiaSiapU20 https://t.co/G3c9bJosqn",Are you ready guys Menyambut pagelaran Piala Dunia di Bali Jakarta dan  kota lain Mei nanti Indonesia jadi Tuan Rumah IndonesiaSiap,"['Are', 'you', 'ready', 'teman-teman', 'Menyambut', 'pagelaran', 'Piala', 'Dunia', 'di', 'Bali', 'Jakarta', 'dan', 'kota', 'lain', 'Mei', 'nanti', 'Indonesia', 'jadi', 'Tuan', 'Rumah', 'IndonesiaSiap']","['are', 'you', 'ready', 'teman-teman', 'menyambut', 'pagelaran', 'piala', 'dunia', 'di', 'bali', 'jakarta', 'dan', 'kota', 'lain', 'mei', 'nanti', 'indonesia', 'jadi', 'tuan', 'rumah', 'indonesiasiap']","['are', 'you', 'ready', 'teman-teman', 'menyambut', 'pagelaran', 'piala', 'bali', 'jakarta', 'kota', 'mei', 'indonesia', 'tuan', 'rumah', 'indonesiasiap']",are you ready teman-teman menyambut pagelaran piala bali jakarta kota mei indonesia tuan rumah indonesiasiap
yuliastuti8721,2023-02-27 13:26:38+00:00,"Bakal banyak sektor yang berdampak dengan terselengaranya piala dunia U-20 2023 di Indonesia
Kecipratan rezeki nih pariwisata, perhotelan dan transportasi
Good job ya jadi tuan rumah

#IndonesiaSiapU20 https://t.co/1r4u0iQpBr",Bakal banyak sektor yang berdampak dengan terselengaranya piala dunia  di Indonesia Kecipratan rezeki nih pariwisata perhotelan dan transportasi Good job ya jadi tuan rumah IndonesiaSiap,"['Bakal', 'banyak', 'sektor', 'yang', 'berdampak', 'dengan', 'terselengaranya', 'piala', 'dunia', 'di', 'Indonesia', 'Kecipratan', 'rezeki', 'ini', 'pariwisata', 'perhotelan', 'dan', 'transportasi', 'Good', 'job', 'iya', 'jadi', 'tuan', 'rumah', 'IndonesiaSiap']","['bakal', 'banyak', 'sektor', 'yang', 'berdampak', 'dengan', 'terselengaranya', 'piala', 'dunia', 'di', 'indonesia', 'kecipratan', 'rezeki', 'ini', 'pariwisata', 'perhotelan', 'dan', 'transportasi', 'good', 'job', 'iya', 'jadi', 'tuan', 'rumah', 'indonesiasiap']","['sektor', 'berdampak', 'terselengaranya', 'piala', 'indonesia', 'kecipratan', 'rezeki', 'pariwisata', 'perhotelan', 'transportasi', 'good', 'job', 'tuan', 'rumah', 'indonesiasiap']",sektor berdampak terselengaranya piala indonesia kecipratan rezeki pariwisata perhotelan transportasi good job tuan rumah indonesiasiap
dillahfara,2023-02-27 13:25:32+00:00,"Logo Piala Dunia U-20 sudah resmi diluncurkan oleh FIFA. Keren banget nih dan lambangnya didominasi warna merah, putih, serta biru dan kuning membentuk trofi. So excited banget nih dengan pertandingan U-20 World ini apalagi sebagai Tuan rumah tahun ini 
#IndonesiaSiapU20 https://t.co/CEZW1XDx5F",Logo Piala Dunia sudah resmi diluncurkan oleh FIFA Keren banget nih dan lambangnya didominasi warna merah putih serta biru dan kuning membentuk trofi So excited banget nih dengan pertandingan World ini apalagi sebagai Tuan rumah tahun ini IndonesiaSiap,"['Logo', 'Piala', 'Dunia', 'sudah', 'resmi', 'diluncurkan', 'oleh', 'FIFA', 'Keren', 'banget', 'ini', 'dan', 'lambangnya', 'didominasi', 'warna', 'merah', 'putih', 'serta', 'biru', 'dan', 'kuning', 'membentuk', 'trofi', 'So', 'excited', 'banget', 'ini', 'dengan', 'pertandingan', 'World', 'ini', 'apalagi', 'sebagai', 'Tuan', 'rumah', 'tahun', 'ini', 'IndonesiaSiap']","['logo', 'piala', 'dunia', 'sudah', 'resmi', 'diluncurkan', 'oleh', 'fifa', 'keren', 'banget', 'ini', 'dan', 'lambangnya', 'didominasi', 'warna', 'merah', 'putih', 'serta', 'biru', 'dan', 'kuning', 'membentuk', 'trofi', 'so', 'excited', 'banget', 'ini', 'dengan', 'pertandingan', 'world', 'ini', 'apalagi', 'sebagai', 'tuan', 'rumah', 'tahun', 'ini', 'indonesiasiap']","['logo', 'piala', 'resmi', 'diluncurkan', 'fifa', 'keren', 'banget', 'lambangnya', 'didominasi', 'warna', 'merah', 'putih', 'biru', 'kuning', 'membentuk', 'trofi', 'so', 'excited', 'banget', 'pertandingan', 'world', 'tuan', 'rumah', 'tahun', 'indonesiasiap']",logo piala resmi diluncurkan fifa keren banget lambangnya didominasi warna merah putih biru kuning membentuk trofi so excited banget pertandingan world tuan rumah tahun indonesiasiap
yuliastuti8721,2023-02-27 13:15:43+00:00,"Semangat ya pak tuk mempersiapkan semua stadion yang akan dijadikan tempat penyelenggaraan piala dunia U-20 nanti
Dan juga tuk venue nya, siap² buat selfie cantik nanti
Semangat Indonesia jadi tuan rumah ter the best

#IndonesiaSiapU20 https://t.co/glmBFrXo0W",Semangat ya pak tuk mempersiapkan semua stadion yang akan dijadikan tempat penyelenggaraan piala dunia nanti Dan juga tuk venue nya siap buat selfie cantik nanti Semangat Indonesia jadi tuan rumah ter the best IndonesiaSiap,"['Semangat', 'iya', 'pak', 'tuk', 'mempersiapkan', 'semua', 'stadion', 'yang', 'akan', 'dijadikan', 'tempat', 'penyelenggaraan', 'piala', 'dunia', 'nanti', 'Dan', 'juga', 'tuk', 'venue', 'nya', 'siap', 'buat', 'selfie', 'cantik', 'nanti', 'Semangat', 'Indonesia', 'jadi', 'tuan', 'rumah', 'ter', 'the', 'best', 'IndonesiaSiap']","['semangat', 'iya', 'pak', 'tuk', 'mempersiapkan', 'semua', 'stadion', 'yang', 'akan', 'dijadikan', 'tempat', 'penyelenggaraan', 'piala', 'dunia', 'nanti', 'dan', 'juga', 'tuk', 'venue', 'nya', 'siap', 'buat', 'selfie', 'cantik', 'nanti', 'semangat', 'indonesia', 'jadi', 'tuan', 'rumah', 'ter', 'the', 'best', 'indonesiasiap']","['semangat', 'stadion', 'dijadikan', 'penyelenggaraan', 'piala', 'venue', 'selfie', 'cantik', 'semangat', 'indonesia', 'tuan', 'rumah', 'ter', 'the', 'best', 'indonesiasiap']",semangat stadion dijadikan penyelenggaraan piala venue selfie cantik semangat indonesia tuan rumah ter the best indonesiasiap
widisaja89,2023-02-27 13:09:00+00:00,"Kalian sudah siap juga belum buat menyambut Piala Dunia U-20 2023 ?? Rame-rame dukung timnas yuk :) 
#IndonesiaSiapU20
Tuan Rumah https://t.co/yT5UGvdLHr",Kalian sudah siap juga belum buat menyambut Piala Dunia  Rame rame dukung timnas yuk IndonesiaSiap Tuan Rumah,"['Kalian', 'sudah', 'siap', 'juga', 'belum', 'buat', 'menyambut', 'Piala', 'Dunia', 'Rame', 'ramai', 'dukung', 'timnas', 'yuk', 'IndonesiaSiap', 'Tuan', 'Rumah']","['kalian', 'sudah', 'siap', 'juga', 'belum', 'buat', 'menyambut', 'piala', 'dunia', 'rame', 'ramai', 'dukung', 'timnas', 'yuk', 'indonesiasiap', 'tuan', 'rumah']","['menyambut', 'piala', 'rame', 'ramai', 'dukung', 'timnas', 'yuk', 'indonesiasiap', 'tuan', 'rumah']",menyambut piala rame ramai dukung timnas yuk indonesiasiap tuan rumah
dillahfara,2023-02-27 13:06:05+00:00,"Jadi pengen nonton deh Piala Dunia U-20 pas di Jakarta, euforia nonton bola itu seru banget dan kali ini Indonesia termasuk Jakarta menjadi Tuan Rumah. Kalian excited ga sih menyambut Piala Dunia U-20 ini? 
#IndonesiaSiapU20",Jadi pengen nonton deh Piala Dunia pas di Jakarta euforia nonton bola itu seru banget dan kali ini Indonesia termasuk Jakarta menjadi Tuan Rumah Kalian excited ga sih menyambut Piala Dunia ini IndonesiaSiap,"['Jadi', 'pengen', 'nonton', 'deh', 'Piala', 'Dunia', 'pas', 'di', 'Jakarta', 'euforia', 'nonton', 'bola', 'itu', 'seru', 'banget', 'dan', 'kali', 'ini', 'Indonesia', 'termasuk', 'Jakarta', 'menjadi', 'Tuan', 'Rumah', 'Kalian', 'excited', 'ga', 'sih', 'menyambut', 'Piala', 'Dunia', 'ini', 'IndonesiaSiap']","['jadi', 'pengen', 'nonton', 'deh', 'piala', 'dunia', 'pas', 'di', 'jakarta', 'euforia', 'nonton', 'bola', 'itu', 'seru', 'banget', 'dan', 'kali', 'ini', 'indonesia', 'termasuk', 'jakarta', 'menjadi', 'tuan', 'rumah', 'kalian', 'excited', 'ga', 'sih', 'menyambut', 'piala', 'dunia', 'ini', 'indonesiasiap']","['pengen', 'nonton', 'deh', 'piala', 'pas', 'jakarta', 'euforia', 'nonton', 'bola', 'seru', 'banget', 'indonesia', 'jakarta', 'tuan', 'rumah', 'excited', 'menyambut', 'piala', 'indonesiasiap']",pengen nonton deh piala pas jakarta euforia nonton bola seru banget indonesia jakarta tuan rumah excited menyambut piala indonesiasiap
