clean_tweet,Compound_Score,Sentiments
"Berbicara mengenai pemain bintang yang tampil di Piala Dunia U-20 kali ini, saya sangat berharap kepada Mason Greenwood. Kemarin ia diskors dari timnas karena suatu kasus, namun sepertinya kasus tersebut sudah berhenti. Mudah-mudahan dia kembali ke timnas dan selanjutnya bermain di Piala Dunia U-20 ini.

Tuan rumah
#IndonesiaSiapU20",0.6538,Positif
"Memang, pemerintah tidak main-main dalam persiapan perhelatan Piala Dunia U-20 ini. Ya, wajar saja, ini adalah event dunia yang sangat ditunggu-tunggu oleh masyarakat di seluruh dunia. Akan ada banyak calon bintang yang muncul di sana.

Tuan rumah
#IndonesiaSiapU20 https://t.co/GoZpKeDucs",0.7276,Positif
"Persis Solo yang biasa bermain di Stadion Manahan Solo, kini bermain di Stadion Maguwoharjo, Sleman. Tapi tak mengapa, demi suksesnya penyelenggaraan piala dunia U-20.

Tuan rumah
#IndonesiaSiapU20",0.8555,Positif
"Jika sebelumnya rumput dan fasilitas sudah dirapikan, pasokan listrik juga sedang dalam proses pemasangan oleh PLN

Dan Telkom juga sudah menyiapkan jaringan internetnya. Benar-benar kolaborasi yang epik demi sukses menjadi tuan rumah Piala Dunia U-20

#IndonesiaSiapU20 https://t.co/3xhQkLHsWd",0.8225,Positif
"Yohooo heboh banget, sebagai tuan rumah Piala Dunia U-20 kali ini menurut saya akan ada beberapa kejutan seru. Tunggu guys 😍😍
#IndonesiaSiapU20 https://t.co/AZO8B9Vx1a",0.9152,Positif
"Surabaya juga bagus. Siap banget, sudah seperti menjadi tuan rumah Piala Dunia U-20 tahun ini.

#IndonesiaSiapU20",0.8643,Positif
"Tuan Rumah Piala Dunia U-20 Terus Bersiap,,,

Pasokan listrik masih dalam proses pemasangan oleh PLN. Mulai dari pemasangan catu daya utama.

#IndonesiaSiapU20 https://t.co/6IRNBoPWy2",0.2263,Positif
"Apakah kalian siap? Menyambut Piala Dunia U-20 di Bali, Jakarta dan 4 kota lainnya di bulan Mei? Indonesia adalah tuan rumahnya
#IndonesiaSiapU20 https://t.co/G3c9bJosqn",0.6966,Positif
"Akan ada banyak sektor yang akan berdampak dengan diselenggarakannya Piala Dunia U-20 2023 di Indonesia
Percikan rejeki adalah pariwisata, perhotelan, dan transportasi
Kerja bagus, ya, menjadi tuan rumah

#IndonesiaSiapU20 https://t.co/1r4u0iQpBr",0.6808,Positif
"Logo Piala Dunia U-20 telah resmi diluncurkan oleh FIFA. Ini keren banget dan simbolnya didominasi warna merah, putih, biru dan kuning membentuk piala. Jadi saya sangat senang dengan pertandingan Dunia U-20 ini, terutama sebagai tuan rumah tahun ini
#IndonesiaSiapU20 https://t.co/CEZW1XDx5F",0.7227,Positif
"Semangat pak untuk mempersiapkan semua stadion yang akan dijadikan venue Piala Dunia U-20 nanti
Dan juga untuk tempat, bersiaplah untuk selfie cantik nanti
Semangat Indonesia menjadi tuan rumah terbaik

#IndonesiaSiapU20 https://t.co/glmBFrXo0W",0.9349,Positif
"Sudah siap menyambut Piala Dunia U-20 2023?? Ayo dukung timnas :)
#IndonesiaSiapU20
Tuan rumah https://t.co/yT5UGvdLHr",0.89,Positif
"Jadi pengen nonton Piala Dunia U-20 langsung di Jakarta, euphoria nonton bola seru banget dan kali ini Indonesia termasuk Jakarta jadi tuan rumahnya. Apakah Anda bersemangat menyambut Piala Dunia U-20?
#IndonesiaSiapU20",0.9283,Positif
"Yuhuuu, siapa nih yang heboh menggelar Piala Dunia U-20?

Indonesia adalah tuan rumahnya, keren bukan?

Ayo, persiapkan diri Anda untuk menjadi tuan rumah yang baik

#IndonesiaSiapU20 https://t.co/VrQcMXMFvD",0.5716,Positif
"Sahabat kicau Bolamania, Marselino Ferdinan memang batal memperkuat Garuda Muda di turnamen Piala Asia 2023 di Uzbekistan. Tapi jangan khawatir, kita lihat saja penampilannya bersama skuat Indonesia di Piala Dunia U-20 2023 dimana kita akan menjadi tuan rumahnya! Betapa kerennya itu?!
#IndonesiaSiapU20 https://t.co/jQPBynG08S",0.8687,Positif
"Seseorang seperti ini ingin menjadi tuan rumah Piala Dunia U-20 tahun ini? lebih baik batalkan saja FIFA, pindah ke negara lain :)",0.7506,Positif
"Enggak mau terlalu naif, salah satu alasan Shin Tae Yong mau melatih Indonesia karena ada Proyek Piala Dunia U-20 (satu-satunya negara ASEAN yang saat ini ikut karena tuan rumah) & target main di Piala Asia 2023 selain itu dia pasti akan memilih Thailand jika tidak ke Indonesia",0.291,Positif
"Boikot Piala Dunia U-20.
Exco itu rumit, kacau.
Liga tidak jelas, berantakan.
Biar liga rusuh, gimana mau juara AFF wkwk, dan mau jadi tuan rumah piala dunia U-20 lagi haha.",-0.0961,Negatif
"Bagaimana kabar tuan rumah Piala Dunia U-20... Saya cinta sepak bola, saya cinta timnas, saya benci saat timnas bermain buruk dan kalah... Tapi sikap seperti di video tidak mengubah apapun , terlepas dari wajah sepak bola Indonesia 😥😥 #Sepakbola",-0.4215,Negatif
"Oh jadi ini calon tuan rumah piala dunia u-20, friendly banget :) https://t.co/xWkp1Z8hv7",0.7764,Positif
Kandidat tuan rumah Piala Dunia U-20 keren banget :),0.707,Positif
"[PENDAFTARAN VOLUNTEEPAGE DUNIA U-20 2023 RESMI DIBUKA]

Mungkin masih ada yang belum tahu, bahwa Indonesia akan menjadi tuan rumah Piala Dunia U-20 tahun depan. Ini adalah momen super sakral dan langka yang tidak mungkin datang lagi.

--- Utas https://t.co/Ra88VU1KQl",0.5994,Positif
Indonesia akan menjadi tuan rumah Piala Dunia U-20 pada tahun 2023. Bagaimana persiapan kita sebagai tuan rumah sekaligus mempersiapkan timnas untuk berjaya di ajang ini? Saksikan dialog bersama Zainudin Amali di #PRIMETIMENEWSSMETROTV Kamis (12/1) pukul 19.10 WIB LIVE https://t.co/EdfeimtNP5,0.6369,Positif
"Surat Kabar Teratas Rakyat Merdeka

Indonesia Menjadi Tuan Rumah Piala Dunia U-20
Siapkan Sarana, Hindari Tragedi

https://t.co/d5cZJtO5fV",-0.7003,Negatif
