Hasil,Nilai,Sentimen,Compound_Score,Sentiments
ngomongin pemain bintang tampil piala berharap mason greenwood kemarin diskors timnas kelihatanya terhenti semoga timnas main piala tuan rumah indonesiasiap,1,positif,0.6597,Positif
main main pemerintah persiapan event piala wajar event ditunggu sedunia calon bintang tampil disitu tuan rumah indonesiasiap,1,positif,0.6705,Positif
persis solo main stadion manahan solo main stadion maguwoharjo sleman papa suksesnya penyelenggaran piala tuan rumah indonesiasiap,1,positif,0.8316,Positif
rumput fasilitas rapihin pasokan listrik proses instalasi pln telkom siapkan jaringan internetnya bener kolaborasi epic sukses tuan rumah piala indonesiasiap,-1,negatif,0.743,Positif
excited banget tuan rumah piala kayaknya kejutan kejutan seru nantikan teman-teman indonesiasiap,1,positif,0.9348,Positif
mantap surabaya udah ready banget kayaknya tuan rumah piala tahun indonesiasiap,1,positif,0.7778,Positif
tuan rumah piala dipersiapkan pasokan listrik proses instalasi pln menginstal main suply power indonesiasiap,1,positif,0.2263,Positif
are you ready teman-teman menyambut pagelaran piala bali jakarta kota mei indonesia tuan rumah indonesiasiap,1,positif,0.8779,Positif
sektor berdampak terselengaranya piala indonesia kecipratan rezeki pariwisata perhotelan transportasi good job tuan rumah indonesiasiap,1,positif,0.6597,Positif
logo piala resmi diluncurkan fifa keren banget lambangnya didominasi warna merah putih biru kuning membentuk trofi so excited banget pertandingan world tuan rumah tahun indonesiasiap,1,positif,0.8276,Positif
semangat stadion dijadikan penyelenggaraan piala venue selfie cantik semangat indonesia tuan rumah ter the best indonesiasiap,1,positif,0.9186,Positif
menyambut piala rame ramai dukung timnas yuk indonesiasiap tuan rumah,1,positif,0.8519,Positif
pengen nonton deh piala pas jakarta euforia nonton bola seru banget indonesia jakarta tuan rumah excited menyambut piala indonesiasiap,1,positif,0.9422,Positif
yuhuuu excited penyelenggaraan piala indonesia tuan rumah keren yuuk siapkan tuan rumah indonesiasiap,1,positif,0.7351,Positif
kawans kicau bolamania marselino ferdinan batal perkuat garuda muda turnamen piala asia uzbekistan tenang saksikan performa doi bareng skuad indonesia piala tuan rumah how cool is that indonesiasiap,1,positif,0.8885,Positif
kaya gini pgn tuan rumah piala tahun fifa batalin ganti negara,0,netral,0.3612,Positif
terlalau naif salah alasan shin tae yong latih indonesia project piala negara asean tuan rumah amp target main piala asia diluar pilih thailand klo indonesia,0,netral,-0.4215,Negatif
boikot piala exco ruwet kacau liga amburadul liga kacau gmna pengen juara aff gelar tuan rumah piala tertawa,0,netral,-0.6597,Negatif
kabar tuan rumah piala suka bola cinta timnas sebel timnas main buruk kalah tapii sikap vidio merubah apapun selaian wajah sepak bola indonesia sepakbolasakit,0,netral,-0.5647,Negatif
calon tuan rumah piala ramah,1,positif,0.4939,Positif
keren banget calon tuan rumah piala,1,positif,0.3804,Positif
pendaftaran volunteer piala resmi dibuka indonesia tuan rumah piala tahun momen super sakral langka gabakal dateng thread,1,positif,0.5994,Positif
indonesia tuan rumah piala tahun persiapan tuan rumah tim nasional berjaya ajang saksikan dialog zainudin amali primetimenewsmetrotv kamis wib live,1,positif,0,Netral
top news koran rakyat merdeka indonesia tuan rumah piala siapkan sarana hindari tragedi,1,positif,-0.5994,Negatif
gak nutup cm gara kesalahan merusak kinerja fair menilai faktanya pssi dipimpin mochammad iriawan loloskan tim piala asia tuan rumah piala loh,1,positif,-0.5267,Negatif
ibul mundur mudah berharap fifa banned indonesia ganti negara tuan rumah piala larangan main internasional tahun jamin ibul ob pssi mundur gegara suporter tolol biang rusuh imbas,-1,negatif,-0.8834,Negatif
liat kolom komennya mang deh bagus gausah tuan rumah piala tim israel dilemparin botol nti kunci surga,1,positif,0.7574,Positif
cerita emak rumah berjalan sesuai rencana beliau timnas main bagus lolos piala asia tuan rumah piala tp niat bikin sandung,1,positif,0.3071,Positif
prediksi indonesia tuan rumah piala lupa pelajaran sekjen pssi terlama nugraha besoes kang nunu memahami prinsip fifa konfederasi federasi kolega lobi penjelasan diterima its ok,1,positif,0.296,Positif
bro timnas main indonesia tuan rumah pagelaran piala ku uda bijak kejadian paham tuan rumah polisi berdarah dingin,1,positif,0.2023,Positif
dicabut tuan rumah piala bilang official broadcast main malam penyebab tragedi coba studi banding liga liga top eropa asia deh bego bego bngt klo gamau cari tv laen,1,positif,-0.8881,Negatif
bye bye sepak bola indo sanksi fifa tuan rumah piala batal pdhl timnas top perform umur sty pergi kah,1,positif,0.296,Positif
tanggung inframe timnas main mundur piala tuan rumah tercoreng,1,positif,0.34,Positif
berduka cita meninggal terima kasih tolol bikin rusuh semalem indonesia main piala batal tuan rumah restinpeace restinpeace,1,positif,-0.7845,Negatif
say good bye to piala asia piala asia tuan rumah piala,1,positif,0.4404,Positif
say good bye to piala asia piala asia tuan rumah piala,1,positif,0.4404,Positif
askrl berduka keluarga korban hancur timnas indonesia pupus impian tuan rumah piala bermain afc senior,1,positif,-0.7096,Negatif
dibalik disayangkan disaat timnas bagus bagusnya lolos piala asia kompetisi berjalan hadirnya penonton indonesia tuan rumah piala dirusak supporter bertanggungjawab aparat bertindak represif,0,netral,0.34,Positif
semoga gak banned fifa tahun timnas agenda internasional gagal main piala asia amp tuan rumah piala gara gara dibanned fifa,0,netral,0.123,Positif
tragedi sepakbola korban meninggal sejarah tahun tuan rumah piala batin seneng timnas main bagus,0,netral,-0.4767,Negatif
disaat timnas jelang piala asia tuan rumah piala sanksi fifa,0,netral,0,Netral
wes mbiyen fifa mbekuke balbalan indonesia ayo bekuke meneh ra urusan timnas rasido main neng asia opo gagal dadi tuan rumah piala,1,positif,-0.2263,Negatif
berdoa semoga fifa membatalkan indonesia tuan rumah piala aremaia kanjuruhan,1,positif,0.0772,Positif
piala indonesia indonesia lolos status tuan rumah apapun hasil indonesia piala asia semifinal indonesia tetep main piala,1,positif,0.34,Positif
jadwal coach shin tae young timnas indonesia piala asia uzbekistan maret maret piala indonesia mei juni piala asia senior juni juli tuan rumah fix kitagaruda timnasday,1,positif,0,Netral
tim lolos piala asia tahun indonesia tuan rumah piala tahun tim main event tsb,1,positif,0,Netral
timnas senior main piala asia timnas main piala asia timnas main piala tuan rumah timnas menangan gara nduwe jersey home amp away timnas tahun iki,1,positif,0.872,Positif
stadion tuan rumah piala kebanyakan fitur terhubung stasiun kereta minimal halte trem deh,-1,negatif,-0.296,Negatif
pelajaran piala tahun tuan rumah jgn ramenya pas main doang event levelnya deh internasional,1,positif,0.2023,Positif
membayangkan reaksi pesepakbola negara main indonesia pas piala daya tarik fifa indonesia tuan rumah ajang senior,1,positif,0.2023,Positif
do kedepannya main bagus cetak gol menang lawan negara vietnam thailand lolos piala asia tahun lolos kualifikasi piala tahun jalur tuan rumah,1,positif,0.7845,Positif
peluangnya udh tuan rumah piala amp bikin khawatir rumput stadion indonesia tp it okay semoga dipilih deh,1,positif,0.6059,Positif
haruss beli jersey timnas indonesia tahun accord tuan rumah piala asia event timnas main piala,1,positif,0.25,Positif
indonesia tuan rumah pssi pemerintah israel main piala,1,positif,0.25,Positif
indonesia tuan rumah pssi pemerintah israel main piala,1,positif,0.25,Positif
indonesia tuan rumah pssi pemerintah israel main piala,1,positif,0.25,Positif
indonesia main piala fifa tuan rumah israel main kararena lolos kualifikasi sok hebat boikot israel malu mayotitas,1,positif,-0.1027,Negatif
yailah ribet banget terima standar ganda fifa israel main piala polisi menghukum israel kocak gagalin indonesia tuan rumah jago bikin keributan,1,positif,0.6557,Positif
asumsikan training camp match uji coba training camp final dikaksanakan tanggal mei pembukaan piala tuan rumah main match tc,1,positif,0,Netral
kronologi mei pssi mengajukan tuan rumah piala pssi stadion melengkapi dokumen overview of the bidding process fifa juli menpora menyurati presiden oktober dewan fifa general meeting shanghai china,0,netral,0,Netral
kronologi mei pssi mengajukan tuan rumah piala pssi stadion melengkapi dokumen overview of the bidding process fifa juli menpora menyurati presiden oktober dewan fifa general meeting shanghai china,0,netral,0,Netral
tuan rumah piala maju nyalonin tuan rumah piala asia wow sibuk kayaknya,0,netral,0.7003,Positif
hahaha pemikiran fifa jis pilih tuan rumah piala politiknya drpd olahraga,0,netral,0.5574,Positif
fifa kota tuan rumah piala solo bali surabaya palembang wow keren,1,positif,0.7269,Positif
tuan rumah piala gbk stadion bener butuh ketahanan konten,1,positif,0,Netral
terima kasih fifa thank you very much fifa penujukan indonesia tuan rumah piala jakarta bandung solo jogja surabaya denpasar,1,positif,0.6124,Positif
tenang bar main piala jalur tuan rumah,1,positif,0.34,Positif
rencana bali lupa tanggal maret diadakan pengundian grup piala taman werdhu budaya art center bangga banget tuan rumah membuktikan indonesiasiap,1,positif,0.7089,Positif
berencana bali maret mampir tanggal maret pengundian grup ajang piala taman werdhi budaya art center bali tuan rumah indonesiasiap,1,positif,0.0772,Positif
bali united memiliki training center kawasan pantai purnama gianyar memiliki fasilitas mumpuni pemandangan indah dijadikan destinasi sport tourisme kontestan piala digelar mei indonesiasiap tuan rumah,-1,negatif,0.8481,Positif
piala digelar mei kota aduh senangnya yaa tuan rumah indonesiasiap,1,positif,0.8042,Positif
maret rencana kemana gitu bali pengundia grup ajang piala lokasinya taman werdhi budaya art center tuan rumah indonesiasiap,1,positif,0.3612,Positif
kementerian pupr stadion stadion lokasi piala sesuai standar fifa indonesiasiap tuan rumah game of thrones,1,positif,0.3612,Positif
stadion tuan rumah penyelenggaraan piala mempercayai datra memasang kursi single seating stadion gelora karno gbk stadion gelora tomo gbt amp stadion manahan solo fifau,1,positif,0.5106,Positif
